episode,timestep,reward
19,2000,-81.324
39,4000,-80.9407
59,6000,-77.4272
79,8000,-80.5889
99,10000,-81.6114
119,12000,-78.2057
139,14000,-76.0279
159,16000,-80.2949
179,18000,-76.4464
199,20000,-77.6206
219,22000,-76.6276
239,24000,-76.8019
259,26000,-77.1192
279,28000,-78.2003
299,30000,-77.1311
319,32000,-75.381
339,34000,-76.6285
359,36000,-72.5609
379,38000,-77.8306
399,40000,-77.578
419,42000,-74.1736
439,44000,-74.457
459,46000,-73.7389
479,48000,-75.8649
499,50000,-74.988
519,52000,-74.6622
539,54000,-70.9032
559,56000,-73.2464
579,58000,-74.3111
599,60000,-75.3115
619,62000,-74.7008
639,64000,-73.1524
659,66000,-73.701
679,68000,-71.58
699,70000,-71.3489
719,72000,-70.9959
739,74000,-72.1117
759,76000,-74.7699
779,78000,-73.258
799,80000,-74.4843
819,82000,-73.426
839,84000,-70.6227
859,86000,-74.6658
879,88000,-73.0483
899,90000,-73.3083
919,92000,-72.6082
939,94000,-72.9127
959,96000,-75.3683
979,98000,-73.4678
999,100000,-72.7893
1019,102000,-72.7259
1039,104000,-73.3309
1059,106000,-72.3882
1079,108000,-75.3405
1099,110000,-71.066
1119,112000,-70.17
1139,114000,-74.5018
1159,116000,-74.0607
1179,118000,-73.1088
1199,120000,-72.3983
1219,122000,-72.7937
1239,124000,-71.4973
1259,126000,-72.1682
1279,128000,-75.2726
1299,130000,-71.6361
1319,132000,-73.1544
1339,134000,-72.7642
1359,136000,-72.0819
1379,138000,-73.3773
1399,140000,-72.9737
1419,142000,-71.8617
1439,144000,-69.8976
1459,146000,-73.9318
1479,148000,-74.8712
1499,150000,-72.827
1519,152000,-74.1735
1539,154000,-73.4702
1559,156000,-71.0537
1579,158000,-77.4666
1599,160000,-73.3246
1619,162000,-74.0446
1639,164000,-69.7739
1659,166000,-73.6646
1679,168000,-75.1774
1699,170000,-72.8072
1719,172000,-73.6016
1739,174000,-73.7601
1759,176000,-72.0636
1779,178000,-74.5322
1799,180000,-75.492
1819,182000,-77.2529
1839,184000,-77.7228
1859,186000,-75.2357
1879,188000,-73.6276
1899,190000,-73.8309
1919,192000,-71.7924
1939,194000,-74.4144
1959,196000,-73.9982
1979,198000,-70.7304
1999,200000,-75.9441
2019,202000,-74.232
2039,204000,-72.1809
2059,206000,-74.4978
2079,208000,-74.7716
2099,210000,-75.4112
2119,212000,-72.1272
2139,214000,-76.1245
2159,216000,-75.6957
2179,218000,-74.4876
2199,220000,-77.7083
2219,222000,-76.1855
2239,224000,-75.3078
2259,226000,-75.5514
2279,228000,-73.7605
2299,230000,-74.6543
2319,232000,-73.1706
2339,234000,-70.4943
2359,236000,-76.5875
2379,238000,-77.0478
2399,240000,-73.4979
2419,242000,-73.1614
2439,244000,-73.9708
2459,246000,-73.5162
2479,248000,-72.5869
2499,250000,-73.6452
2519,252000,-70.0103
2539,254000,-67.9027
2559,256000,-65.9947
2579,258000,-71.0696
2599,260000,-69.4369
2619,262000,-69.8805
2639,264000,-69.6985
2659,266000,-71.8945
2679,268000,-67.9013
2699,270000,-70.2004
2719,272000,-70.5556
2739,274000,-68.5043
2759,276000,-68.9213
2779,278000,-70.355
2799,280000,-72.1666
2819,282000,-73.7984
2839,284000,-71.1503
2859,286000,-73.5835
2879,288000,-68.9996
2899,290000,-72.9213
2919,292000,-69.1468
2939,294000,-70.3247
2959,296000,-69.9496
2979,298000,-72.2787
2999,300000,-71.2076
3019,302000,-69.411
3039,304000,-68.3862
3059,306000,-72.2365
3079,308000,-71.0265
3099,310000,-70.7521
3119,312000,-71.0259
3139,314000,-73.1743
3159,316000,-69.3008
3179,318000,-70.2131
3199,320000,-71.2759
3219,322000,-70.3176
3239,324000,-71.1604
3259,326000,-71.008
3279,328000,-74.2473
3299,330000,-73.1567
3319,332000,-74.0885
3339,334000,-70.6431
3359,336000,-69.9136
3379,338000,-71.4083
3399,340000,-71.5404
3419,342000,-72.6891
3439,344000,-71.703
3459,346000,-70.7561
3479,348000,-70.3835
3499,350000,-68.7807
3519,352000,-73.1597
3539,354000,-71.8159
3559,356000,-70.5538
3579,358000,-71.1073
3599,360000,-72.2395
3619,362000,-70.4166
3639,364000,-72.3621
3659,366000,-73.6866
3679,368000,-71.9545
3699,370000,-70.0812
3719,372000,-70.2712
3739,374000,-70.2784
3759,376000,-69.108
3779,378000,-69.4788
3799,380000,-70.8207
3819,382000,-70.581
3839,384000,-71.8272
3859,386000,-71.3235
3879,388000,-74.7636
3899,390000,-71.602
3919,392000,-69.8301
3939,394000,-72.163
3959,396000,-69.8167
3979,398000,-69.8415
3999,400000,-68.7796
4019,402000,-71.9546
4039,404000,-67.7743
4059,406000,-69.7915
4079,408000,-72.0853
4099,410000,-74.2234
4119,412000,-70.9079
4139,414000,-71.759
4159,416000,-69.8317
4179,418000,-69.5475
4199,420000,-73.2102
4219,422000,-72.9956
4239,424000,-70.9235
4259,426000,-72.2819
4279,428000,-71.404
4299,430000,-68.1247
4319,432000,-70.2354
4339,434000,-70.9493
4359,436000,-67.4584
4379,438000,-72.1566
4399,440000,-70.8515
4419,442000,-72.917
4439,444000,-71.9703
4459,446000,-71.16
4479,448000,-71.1041
4499,450000,-68.0217
4519,452000,-73.3329
4539,454000,-71.6487
4559,456000,-72.7869
4579,458000,-71.1484
4599,460000,-71.1874
4619,462000,-71.4669
4639,464000,-73.0082
4659,466000,-72.4072
4679,468000,-72.8578
4699,470000,-72.9347
4719,472000,-72.0158
4739,474000,-70.4167
4759,476000,-72.4299
4779,478000,-69.2833
4799,480000,-70.5345
4819,482000,-73.0017
4839,484000,-70.5312
4859,486000,-75.2313
4879,488000,-69.9565
4899,490000,-73.9627
4919,492000,-71.8272
4939,494000,-73.7512
4959,496000,-68.8321
4979,498000,-73.2946
4999,500000,-72.0881
5019,502000,-70.5264
5039,504000,-63.7637
5059,506000,-66.8835
5079,508000,-65.992
5099,510000,-65.4178
5119,512000,-62.9049
5139,514000,-66.4631
5159,516000,-66.9789
5179,518000,-69.4311
5199,520000,-68.3055
5219,522000,-68.9025
5239,524000,-67.0037
5259,526000,-68.8636
5279,528000,-65.175
5299,530000,-69.4483
5319,532000,-64.9002
5339,534000,-71.3676
5359,536000,-69.9222
5379,538000,-67.3548
5399,540000,-67.7313
5419,542000,-68.5203
5439,544000,-68.5377
5459,546000,-68.0254
5479,548000,-66.8845
5499,550000,-64.302
5519,552000,-64.1739
5539,554000,-64.945
5559,556000,-68.3389
5579,558000,-67.847
5599,560000,-65.5693
5619,562000,-67.284
5639,564000,-64.4199
5659,566000,-67.8819
5679,568000,-69.1571
5699,570000,-66.6796
5719,572000,-69.0
5739,574000,-66.9326
5759,576000,-68.8316
5779,578000,-67.026
5799,580000,-66.6942
5819,582000,-67.4184
5839,584000,-69.5134
5859,586000,-67.9191
5879,588000,-68.4649
5899,590000,-66.5043
5919,592000,-68.0572
5939,594000,-67.8689
5959,596000,-66.937
5979,598000,-67.9523
5999,600000,-68.2296
6019,602000,-69.6631
6039,604000,-64.8174
6059,606000,-68.8072
6079,608000,-64.7717
6099,610000,-69.7992
6119,612000,-65.3364
6139,614000,-66.8474
6159,616000,-69.2767
6179,618000,-66.6249
6199,620000,-69.5999
6219,622000,-68.426
6239,624000,-66.9003
6259,626000,-71.4788
6279,628000,-68.1084
6299,630000,-65.5521
6319,632000,-66.41
6339,634000,-67.8272
6359,636000,-64.2666
6379,638000,-67.8353
6399,640000,-68.8389
6419,642000,-66.4237
6439,644000,-65.4328
6459,646000,-67.9813
6479,648000,-64.8262
6499,650000,-68.2072
6519,652000,-69.9374
6539,654000,-66.2962
6559,656000,-68.1577
6579,658000,-69.5668
6599,660000,-68.2584
6619,662000,-67.3893
6639,664000,-69.0806
6659,666000,-67.3868
6679,668000,-69.395
6699,670000,-68.0536
6719,672000,-69.3028
6739,674000,-69.2487
6759,676000,-66.5326
6779,678000,-66.6149
6799,680000,-66.1698
6819,682000,-68.3065
6839,684000,-70.2674
