episode,timestep,reward
19,2000,-75.5782
39,4000,-77.7036
59,6000,-79.3604
79,8000,-77.8054
99,10000,-77.8126
119,12000,-74.6536
139,14000,-76.3068
159,16000,-78.9015
179,18000,-73.2422
199,20000,-73.2876
219,22000,-74.0679
239,24000,-74.003
259,26000,-75.9692
279,28000,-72.3805
299,30000,-73.893
319,32000,-74.5621
339,34000,-71.2449
359,36000,-70.8421
379,38000,-71.1689
399,40000,-74.1185
419,42000,-74.0437
439,44000,-71.3
459,46000,-70.4008
479,48000,-72.5535
499,50000,-71.7018
519,52000,-70.5472
539,54000,-69.4432
559,56000,-69.9289
579,58000,-70.6741
599,60000,-69.7539
619,62000,-71.2911
639,64000,-71.4031
659,66000,-68.0977
679,68000,-70.0015
699,70000,-70.2382
719,72000,-74.0698
739,74000,-71.6958
759,76000,-71.5048
779,78000,-74.2237
799,80000,-71.7095
819,82000,-71.7162
839,84000,-68.6749
859,86000,-71.3807
879,88000,-69.6318
899,90000,-73.2177
919,92000,-71.0268
939,94000,-70.4439
959,96000,-71.9495
979,98000,-73.8987
999,100000,-71.6971
1019,102000,-71.8713
1039,104000,-74.4168
1059,106000,-71.8291
1079,108000,-71.1548
1099,110000,-73.4278
1119,112000,-72.1895
1139,114000,-72.928
1159,116000,-70.4877
1179,118000,-70.5596
1199,120000,-71.076
1219,122000,-71.7491
1239,124000,-70.759
1259,126000,-71.01
1279,128000,-71.9288
1299,130000,-72.2313
1319,132000,-71.4577
1339,134000,-69.9624
1359,136000,-72.3242
1379,138000,-71.0122
1399,140000,-74.5599
1419,142000,-71.4619
1439,144000,-72.1424
1459,146000,-73.1748
1479,148000,-72.76
1499,150000,-73.3261
1519,152000,-75.2659
1539,154000,-74.7486
1559,156000,-75.4832
1579,158000,-71.6861
1599,160000,-73.5033
1619,162000,-74.4711
1639,164000,-75.9799
1659,166000,-75.0641
1679,168000,-71.6811
1699,170000,-74.7331
1719,172000,-72.8146
1739,174000,-74.6247
1759,176000,-72.0103
1779,178000,-74.1881
1799,180000,-72.9479
1819,182000,-73.8346
1839,184000,-74.317
1859,186000,-76.1538
1879,188000,-74.8021
1899,190000,-73.804
1919,192000,-73.7713
1939,194000,-76.7632
1959,196000,-75.3665
1979,198000,-72.9291
1999,200000,-76.4894
2019,202000,-73.975
2039,204000,-76.9589
2059,206000,-74.4934
2079,208000,-74.3612
2099,210000,-73.2962
2119,212000,-74.9729
2139,214000,-76.5241
2159,216000,-79.0528
2179,218000,-75.5341
2199,220000,-76.3874
2219,222000,-74.9934
2239,224000,-76.0082
2259,226000,-76.9184
2279,228000,-76.0265
2299,230000,-73.9733
2319,232000,-75.8767
2339,234000,-73.2684
2359,236000,-75.4026
2379,238000,-75.2574
2399,240000,-76.0914
2419,242000,-77.4612
2439,244000,-74.8714
2459,246000,-74.5365
2479,248000,-77.8964
2499,250000,-75.5667
2519,252000,-68.5687
2539,254000,-70.5464
2559,256000,-68.6706
2579,258000,-72.5903
2599,260000,-71.4761
2619,262000,-71.5977
2639,264000,-69.4955
2659,266000,-68.1681
2679,268000,-69.6641
2699,270000,-70.2102
2719,272000,-67.4063
2739,274000,-71.1014
2759,276000,-67.9099
2779,278000,-71.0371
2799,280000,-69.873
2819,282000,-72.78
2839,284000,-71.564
2859,286000,-70.9696
2879,288000,-71.3311
2899,290000,-68.3736
2919,292000,-72.4132
2939,294000,-68.5494
2959,296000,-69.981
2979,298000,-68.7915
2999,300000,-73.1005
3019,302000,-68.6219
3039,304000,-71.9272
3059,306000,-69.8903
3079,308000,-70.4979
3099,310000,-68.3572
3119,312000,-67.6571
3139,314000,-70.2615
3159,316000,-71.0086
3179,318000,-73.0703
3199,320000,-68.5429
3219,322000,-70.0073
3239,324000,-68.3513
3259,326000,-72.1446
3279,328000,-69.0566
3299,330000,-69.3931
3319,332000,-71.0269
3339,334000,-69.5976
3359,336000,-70.4738
3379,338000,-69.4689
3399,340000,-67.0866
3419,342000,-72.324
3439,344000,-72.1617
3459,346000,-70.5492
3479,348000,-69.8644
3499,350000,-72.737
