episode,timestep,reward
19,2000,-75.6599
39,4000,-76.7449
59,6000,-77.8072
79,8000,-75.5834
99,10000,-77.1721
119,12000,-79.4173
139,14000,-74.986
159,16000,-75.612
179,18000,-73.7312
199,20000,-75.8641
219,22000,-74.95
239,24000,-75.1871
259,26000,-73.4621
279,28000,-74.5028
299,30000,-73.5359
319,32000,-72.4675
339,34000,-74.0301
359,36000,-73.4607
379,38000,-75.1388
399,40000,-73.9079
419,42000,-76.9038
439,44000,-73.6624
459,46000,-75.5558
479,48000,-73.3835
499,50000,-74.3442
519,52000,-72.5046
539,54000,-75.2594
559,56000,-73.4889
579,58000,-73.4514
599,60000,-72.1154
619,62000,-75.1778
639,64000,-73.0963
659,66000,-73.8262
679,68000,-71.5696
699,70000,-74.1751
719,72000,-75.6816
739,74000,-75.399
759,76000,-72.7677
779,78000,-73.4489
799,80000,-74.2142
819,82000,-74.2675
839,84000,-71.7984
859,86000,-74.9054
879,88000,-74.3389
899,90000,-73.3916
919,92000,-76.9796
939,94000,-74.4556
959,96000,-75.1408
979,98000,-75.7908
999,100000,-74.9703
1019,102000,-74.1387
1039,104000,-73.9528
1059,106000,-73.4545
1079,108000,-74.2291
1099,110000,-74.6278
1119,112000,-73.8744
1139,114000,-75.5325
1159,116000,-71.917
1179,118000,-75.0254
1199,120000,-72.8187
1219,122000,-78.528
1239,124000,-74.9448
1259,126000,-75.5786
1279,128000,-73.9176
1299,130000,-76.4919
1319,132000,-75.1805
1339,134000,-75.738
1359,136000,-74.4954
1379,138000,-75.9562
1399,140000,-77.2247
1419,142000,-75.2267
1439,144000,-75.4325
1459,146000,-74.7793
1479,148000,-75.3301
1499,150000,-77.0328
1519,152000,-74.3914
1539,154000,-76.7518
1559,156000,-75.9462
1579,158000,-75.7918
1599,160000,-77.2373
1619,162000,-75.7464
1639,164000,-73.8433
1659,166000,-77.8506
1679,168000,-78.1701
1699,170000,-76.0915
1719,172000,-73.5437
1739,174000,-77.2042
1759,176000,-75.7619
1779,178000,-71.9737
1799,180000,-75.5136
1819,182000,-77.3427
1839,184000,-76.4732
1859,186000,-75.1413
1879,188000,-74.4348
1899,190000,-76.5206
1919,192000,-75.6449
1939,194000,-76.0983
1959,196000,-76.8861
1979,198000,-73.609
1999,200000,-75.0776
2019,202000,-78.2536
2039,204000,-73.1324
2059,206000,-75.1991
2079,208000,-75.2334
2099,210000,-74.9613
2119,212000,-75.2701
2139,214000,-78.1122
2159,216000,-74.7151
2179,218000,-73.7746
2199,220000,-77.316
2219,222000,-75.6086
2239,224000,-75.629
2259,226000,-78.1671
2279,228000,-76.8589
2299,230000,-76.576
2319,232000,-76.5401
2339,234000,-74.5246
2359,236000,-75.9335
2379,238000,-78.1195
2399,240000,-77.569
2419,242000,-79.319
2439,244000,-78.1322
2459,246000,-74.9938
2479,248000,-78.6113
2499,250000,-77.1194
2519,252000,-72.4017
2539,254000,-71.3238
2559,256000,-75.1645
2579,258000,-73.0723
2599,260000,-68.4285
2619,262000,-73.4271
2639,264000,-72.0405
2659,266000,-72.7718
2679,268000,-74.7826
2699,270000,-74.9891
2719,272000,-72.4109
2739,274000,-73.5747
2759,276000,-68.3161
2779,278000,-75.5644
2799,280000,-73.7559
2819,282000,-72.9862
2839,284000,-71.8248
2859,286000,-72.3537
2879,288000,-74.8675
2899,290000,-71.152
2919,292000,-71.2687
2939,294000,-71.5051
2959,296000,-72.8242
2979,298000,-71.8266
2999,300000,-71.4802
3019,302000,-73.3871
3039,304000,-74.8703
3059,306000,-75.529
3079,308000,-72.6263
3099,310000,-72.0557
3119,312000,-73.1919
3139,314000,-71.9174
3159,316000,-72.3999
3179,318000,-73.2176
3199,320000,-74.2135
3219,322000,-74.5786
3239,324000,-75.0603
3259,326000,-71.4953
3279,328000,-75.2071
3299,330000,-71.6872
3319,332000,-71.4813
3339,334000,-74.4539
3359,336000,-70.3645
3379,338000,-71.4051
3399,340000,-71.9685
3419,342000,-72.6959
3439,344000,-71.9715
3459,346000,-72.4718
3479,348000,-74.3287
3499,350000,-72.5212
3519,352000,-76.5268
3539,354000,-75.7071
3559,356000,-75.2879
3579,358000,-71.7074
3599,360000,-72.8353
3619,362000,-75.0218
3639,364000,-72.469
3659,366000,-74.8843
3679,368000,-75.2752
3699,370000,-75.164
3719,372000,-75.608
3739,374000,-73.7367
3759,376000,-75.6009
3779,378000,-76.1815
3799,380000,-77.001
3819,382000,-74.0786
3839,384000,-75.2565
3859,386000,-73.2767
3879,388000,-71.9417
3899,390000,-74.3138
3919,392000,-75.1684
3939,394000,-75.4094
3959,396000,-73.8247
3979,398000,-77.2977
3999,400000,-73.2584
4019,402000,-74.6647
4039,404000,-73.0415
4059,406000,-74.8112
4079,408000,-73.6609
4099,410000,-73.2652
4119,412000,-78.1703
4139,414000,-71.1705
4159,416000,-71.4384
4179,418000,-73.395
4199,420000,-76.1388
4219,422000,-72.2261
4239,424000,-75.4153
4259,426000,-76.6834
4279,428000,-75.8023
4299,430000,-75.1127
4319,432000,-73.8345
4339,434000,-75.1731
4359,436000,-76.5802
4379,438000,-73.7869
4399,440000,-73.5937
4419,442000,-71.587
4439,444000,-74.8613
4459,446000,-75.1188
4479,448000,-74.8554
4499,450000,-73.8414
4519,452000,-75.1215
4539,454000,-73.0887
4559,456000,-77.4669
4579,458000,-75.6416
4599,460000,-74.442
4619,462000,-72.5252
4639,464000,-73.8164
4659,466000,-78.0048
4679,468000,-75.2968
4699,470000,-74.0377
4719,472000,-74.9616
4739,474000,-73.012
4759,476000,-72.4366
4779,478000,-74.304
4799,480000,-72.879
4819,482000,-75.843
4839,484000,-77.0576
4859,486000,-77.5917
4879,488000,-74.5321
4899,490000,-76.6958
4919,492000,-73.8085
4939,494000,-75.0938
4959,496000,-74.3171
4979,498000,-75.3138
4999,500000,-75.5105
5019,502000,-67.0788
5039,504000,-70.3649
5059,506000,-69.0215
5079,508000,-72.383
5099,510000,-72.0539
5119,512000,-71.4991
5139,514000,-70.099
5159,516000,-70.5783
5179,518000,-70.8687
5199,520000,-70.9246
5219,522000,-69.3488
5239,524000,-74.1171
5259,526000,-69.0511
5279,528000,-71.9675
5299,530000,-71.0208
5319,532000,-72.1312
5339,534000,-71.2064
5359,536000,-69.2612
5379,538000,-69.6715
5399,540000,-72.8013
5419,542000,-70.3355
5439,544000,-69.842
5459,546000,-69.2612
5479,548000,-74.4196
5499,550000,-68.8493
5519,552000,-70.8871
5539,554000,-71.119
5559,556000,-70.6877
5579,558000,-69.5963
5599,560000,-72.4884
5619,562000,-71.4471
5639,564000,-72.3939
5659,566000,-71.889
5679,568000,-70.3259
