episode,timestep,reward
19,2000,-77.1711
39,4000,-82.7263
59,6000,-80.1069
79,8000,-80.5462
99,10000,-80.2771
119,12000,-80.4759
139,14000,-79.4091
159,16000,-81.7108
179,18000,-80.2331
199,20000,-81.0944
219,22000,-77.6965
239,24000,-81.051
259,26000,-80.0785
279,28000,-81.662
299,30000,-78.9407
319,32000,-77.8717
339,34000,-78.7733
359,36000,-77.8324
379,38000,-77.5336
399,40000,-78.014
419,42000,-77.7291
439,44000,-79.3319
459,46000,-77.9787
479,48000,-76.9989
499,50000,-78.2995
519,52000,-77.5683
539,54000,-79.3246
559,56000,-77.8337
579,58000,-79.3891
599,60000,-79.1565
619,62000,-78.1488
639,64000,-77.1514
659,66000,-77.1793
679,68000,-77.5949
699,70000,-78.1733
719,72000,-77.6506
739,74000,-73.4717
759,76000,-77.1708
779,78000,-79.8379
799,80000,-77.2123
819,82000,-78.3241
839,84000,-76.1798
859,86000,-74.8257
879,88000,-75.7478
899,90000,-78.56
919,92000,-74.6466
939,94000,-76.177
959,96000,-76.8804
979,98000,-75.0889
999,100000,-75.1679
1019,102000,-76.789
1039,104000,-77.0945
1059,106000,-75.7407
1079,108000,-75.1948
1099,110000,-78.6396
1119,112000,-74.51
1139,114000,-74.778
1159,116000,-75.8595
1179,118000,-78.2831
1199,120000,-75.2404
1219,122000,-76.3886
1239,124000,-76.606
1259,126000,-75.3935
1279,128000,-76.6534
1299,130000,-74.4346
1319,132000,-76.6146
1339,134000,-75.5219
1359,136000,-76.5827
1379,138000,-77.3432
1399,140000,-73.7351
1419,142000,-73.829
1439,144000,-76.1018
1459,146000,-72.9979
1479,148000,-75.2076
1499,150000,-75.8584
1519,152000,-76.8245
1539,154000,-76.5256
1559,156000,-77.7913
1579,158000,-75.8878
1599,160000,-75.9852
1619,162000,-74.5651
1639,164000,-75.674
1659,166000,-78.1771
1679,168000,-75.5518
1699,170000,-78.0357
1719,172000,-76.4159
1739,174000,-77.968
1759,176000,-73.8265
1779,178000,-76.9973
1799,180000,-76.9459
1819,182000,-76.0313
1839,184000,-75.3501
1859,186000,-77.5948
1879,188000,-74.5608
1899,190000,-76.3279
1919,192000,-77.495
1939,194000,-77.6576
1959,196000,-75.9921
1979,198000,-79.0546
1999,200000,-77.7785
2019,202000,-74.7529
2039,204000,-77.041
2059,206000,-77.7863
2079,208000,-74.4236
2099,210000,-73.9993
2119,212000,-80.1602
2139,214000,-76.315
2159,216000,-80.3424
2179,218000,-79.6589
2199,220000,-75.0499
2219,222000,-76.1431
2239,224000,-78.163
2259,226000,-77.641
2279,228000,-79.2044
2299,230000,-74.9836
2319,232000,-80.4587
2339,234000,-77.426
2359,236000,-75.1041
2379,238000,-76.7211
2399,240000,-79.8646
2419,242000,-79.4801
