episode,timestep,reward
19,2000,-79.8262
39,4000,-80.7845
59,6000,-81.5901
79,8000,-78.4274
99,10000,-78.302
119,12000,-80.4513
139,14000,-78.6512
159,16000,-77.5372
179,18000,-78.1873
199,20000,-76.2779
219,22000,-77.7149
239,24000,-76.7068
259,26000,-76.4258
279,28000,-76.9233
299,30000,-78.168
319,32000,-75.6547
339,34000,-77.2926
359,36000,-73.9994
379,38000,-76.7566
399,40000,-75.6772
419,42000,-76.6131
439,44000,-74.6241
459,46000,-72.1858
479,48000,-74.8245
499,50000,-74.351
519,52000,-76.5003
539,54000,-73.7023
559,56000,-74.0496
579,58000,-74.8645
599,60000,-74.2185
619,62000,-74.226
639,64000,-74.1794
659,66000,-71.8505
679,68000,-75.4256
699,70000,-74.3672
719,72000,-77.768
739,74000,-71.6841
759,76000,-73.0395
779,78000,-76.332
799,80000,-73.7514
819,82000,-71.4986
839,84000,-74.2913
859,86000,-74.7342
879,88000,-72.422
899,90000,-73.8293
919,92000,-73.621
939,94000,-69.5955
959,96000,-72.9397
979,98000,-74.9422
999,100000,-70.6311
1019,102000,-73.6779
1039,104000,-72.1285
1059,106000,-74.1598
