episode,timestep,reward
19,2000,-87.9893
39,4000,-87.954
59,6000,-88.7463
79,8000,-88.8647
99,10000,-84.9597
119,12000,-87.975
139,14000,-85.5027
159,16000,-83.1823
179,18000,-84.2478
199,20000,-82.4152
219,22000,-81.616
239,24000,-79.9869
259,26000,-79.5199
279,28000,-82.6794
299,30000,-78.9762
319,32000,-77.6841
339,34000,-76.896
359,36000,-79.4406
379,38000,-76.7548
399,40000,-76.096
419,42000,-74.2663
439,44000,-74.277
459,46000,-75.3553
479,48000,-77.0404
499,50000,-76.5052
519,52000,-76.0135
539,54000,-75.2717
559,56000,-75.2338
579,58000,-76.9778
599,60000,-77.0863
619,62000,-73.4596
639,64000,-74.6973
659,66000,-76.8761
679,68000,-73.2959
699,70000,-72.4898
719,72000,-72.1958
739,74000,-72.5391
759,76000,-73.595
779,78000,-71.7543
799,80000,-72.3011
819,82000,-70.9394
839,84000,-72.5916
859,86000,-74.5437
879,88000,-73.71
899,90000,-72.6452
919,92000,-75.6902
939,94000,-72.8799
959,96000,-72.8698
979,98000,-72.2469
999,100000,-73.1396
1019,102000,-70.1251
1039,104000,-71.1456
1059,106000,-73.6545
1079,108000,-72.8563
1099,110000,-71.2275
1119,112000,-72.6762
1139,114000,-70.7317
1159,116000,-70.349
1179,118000,-70.9738
1199,120000,-68.7825
1219,122000,-71.0979
1239,124000,-70.6929
1259,126000,-71.8212
1279,128000,-68.5941
1299,130000,-70.8841
1319,132000,-69.9842
1339,134000,-68.5735
1359,136000,-68.6168
1379,138000,-72.0172
1399,140000,-71.3758
1419,142000,-71.4484
1439,144000,-70.4669
1459,146000,-71.7129
1479,148000,-73.4985
1499,150000,-72.4975
1519,152000,-67.1272
1539,154000,-70.0412
1559,156000,-72.6702
1579,158000,-69.8698
1599,160000,-71.0907
1619,162000,-68.1141
1639,164000,-68.9645
1659,166000,-69.0407
1679,168000,-68.8307
1699,170000,-70.4494
1719,172000,-70.138
1739,174000,-67.3323
1759,176000,-71.8971
1779,178000,-71.683
1799,180000,-70.4065
1819,182000,-72.0502
1839,184000,-70.6546
1859,186000,-69.0409
1879,188000,-71.2935
1899,190000,-69.9661
1919,192000,-71.6276
1939,194000,-69.303
1959,196000,-70.2285
1979,198000,-70.8001
1999,200000,-70.6864
2019,202000,-71.1524
2039,204000,-69.0397
2059,206000,-70.2206
2079,208000,-67.795
2099,210000,-70.6978
2119,212000,-70.7113
2139,214000,-67.6425
2159,216000,-70.5811
2179,218000,-71.3927
2199,220000,-68.9419
2219,222000,-72.0151
2239,224000,-70.9178
2259,226000,-69.9672
2279,228000,-68.0534
2299,230000,-71.0645
2319,232000,-70.8301
2339,234000,-71.8369
2359,236000,-70.2815
2379,238000,-68.1042
2399,240000,-70.4543
2419,242000,-71.1999
2439,244000,-70.7496
2459,246000,-72.4277
2479,248000,-68.9254
2499,250000,-69.2911
2519,252000,-65.3484
2539,254000,-62.8654
2559,256000,-64.7955
2579,258000,-66.1354
2599,260000,-65.0281
2619,262000,-66.3841
2639,264000,-65.4915
2659,266000,-63.6483
2679,268000,-66.9875
2699,270000,-65.0345
2719,272000,-66.7554
2739,274000,-64.9906
2759,276000,-65.2394
2779,278000,-66.7249
2799,280000,-64.9958
2819,282000,-65.2597
2839,284000,-65.1994
2859,286000,-65.5637
2879,288000,-66.9699
2899,290000,-66.6292
