episode,timestep,reward
19,2000,-86.9539
39,4000,-86.6945
59,6000,-85.4567
79,8000,-83.2521
99,10000,-85.0065
119,12000,-82.0337
139,14000,-81.9306
159,16000,-85.6363
179,18000,-84.1183
199,20000,-83.8835
219,22000,-84.0757
239,24000,-83.3482
259,26000,-81.9083
279,28000,-82.6717
299,30000,-81.3006
319,32000,-79.0136
339,34000,-78.7591
359,36000,-79.0029
379,38000,-77.9739
399,40000,-80.4767
419,42000,-78.3237
439,44000,-79.8447
459,46000,-77.3583
479,48000,-78.9652
499,50000,-79.0559
519,52000,-78.1241
539,54000,-78.6655
559,56000,-79.0297
579,58000,-79.1998
599,60000,-79.7944
619,62000,-75.2812
639,64000,-77.8319
659,66000,-75.477
679,68000,-78.006
699,70000,-78.7043
719,72000,-78.5321
739,74000,-74.5277
759,76000,-73.9998
779,78000,-77.3102
799,80000,-74.7294
819,82000,-74.3168
839,84000,-74.8782
859,86000,-75.0689
879,88000,-73.0339
899,90000,-74.6386
919,92000,-72.8144
939,94000,-72.8631
959,96000,-75.0451
979,98000,-74.9776
999,100000,-74.1113
1019,102000,-75.6093
1039,104000,-75.45
1059,106000,-73.2015
1079,108000,-73.0343
1099,110000,-73.9535
1119,112000,-73.5678
1139,114000,-71.6712
1159,116000,-75.3626
1179,118000,-72.4542
1199,120000,-71.9455
1219,122000,-71.9972
1239,124000,-72.0605
1259,126000,-71.8322
1279,128000,-73.1112
1299,130000,-73.4181
1319,132000,-73.6865
1339,134000,-74.0451
1359,136000,-72.6104
1379,138000,-72.7751
1399,140000,-72.7213
1419,142000,-71.3388
1439,144000,-71.8682
1459,146000,-72.1753
1479,148000,-72.0458
1499,150000,-71.8719
1519,152000,-71.5859
1539,154000,-71.053
1559,156000,-74.1732
1579,158000,-70.6517
1599,160000,-73.5817
1619,162000,-71.7011
1639,164000,-71.4603
1659,166000,-72.7426
1679,168000,-71.945
1699,170000,-70.1953
1719,172000,-70.8385
1739,174000,-69.9762
1759,176000,-70.9854
1779,178000,-70.991
1799,180000,-68.9879
1819,182000,-72.5889
1839,184000,-70.4532
1859,186000,-70.1904
1879,188000,-70.0296
1899,190000,-71.5996
1919,192000,-70.0764
1939,194000,-72.0095
1959,196000,-71.5477
1979,198000,-74.0199
1999,200000,-71.7127
2019,202000,-71.0939
2039,204000,-72.4062
2059,206000,-71.6004
2079,208000,-70.5693
2099,210000,-71.4173
2119,212000,-72.4731
2139,214000,-74.1413
2159,216000,-71.1957
2179,218000,-71.0955
2199,220000,-69.4233
2219,222000,-73.731
2239,224000,-69.8502
2259,226000,-70.6534
2279,228000,-70.2261
2299,230000,-72.0983
2319,232000,-72.2018
2339,234000,-74.1318
2359,236000,-73.3698
2379,238000,-72.8837
2399,240000,-70.8827
2419,242000,-76.3631
2439,244000,-72.4252
2459,246000,-75.3891
2479,248000,-73.646
2499,250000,-74.4551
2519,252000,-67.5835
2539,254000,-67.1557
2559,256000,-66.8409
2579,258000,-67.4355
2599,260000,-65.7559
2619,262000,-66.601
2639,264000,-67.8613
2659,266000,-66.5115
2679,268000,-66.3843
2699,270000,-66.2999
2719,272000,-68.3444
2739,274000,-67.1891
2759,276000,-68.3109
2779,278000,-64.8507
2799,280000,-65.5696
2819,282000,-65.7456
2839,284000,-64.5736
2859,286000,-67.9182
2879,288000,-65.2922
2899,290000,-66.0651
2919,292000,-66.2186
2939,294000,-66.6883
2959,296000,-65.9633
2979,298000,-66.7764
2999,300000,-63.7355
3019,302000,-66.7873
3039,304000,-64.0561
3059,306000,-67.72
3079,308000,-67.4028
3099,310000,-64.5206
3119,312000,-67.1172
3139,314000,-66.0869
3159,316000,-65.6883
3179,318000,-68.2241
3199,320000,-65.9213
3219,322000,-69.3567
3239,324000,-66.5996
3259,326000,-66.6653
3279,328000,-68.7552
3299,330000,-66.0639
3319,332000,-67.1065
