episode,timestep,reward
19,2000,-80.0608
39,4000,-82.1815
59,6000,-81.0606
79,8000,-81.8163
99,10000,-81.9658
119,12000,-79.5731
139,14000,-81.0234
159,16000,-81.3306
179,18000,-81.7608
199,20000,-81.7884
219,22000,-76.5075
239,24000,-81.6794
259,26000,-79.0002
279,28000,-82.3769
299,30000,-78.3702
319,32000,-77.867
339,34000,-78.0219
359,36000,-77.497
379,38000,-76.8534
399,40000,-77.8974
419,42000,-76.2387
439,44000,-77.9519
459,46000,-76.361
479,48000,-75.2383
499,50000,-77.6115
519,52000,-76.1747
539,54000,-75.3366
559,56000,-75.295
579,58000,-73.8811
599,60000,-76.2612
619,62000,-73.867
639,64000,-74.2492
659,66000,-76.2843
679,68000,-77.8379
699,70000,-73.6962
719,72000,-74.3738
739,74000,-74.5407
759,76000,-74.9073
779,78000,-77.3971
799,80000,-72.9367
819,82000,-74.2616
839,84000,-76.4079
859,86000,-76.2768
879,88000,-74.2342
899,90000,-77.563
919,92000,-75.2918
939,94000,-74.9204
959,96000,-75.5945
979,98000,-77.9066
999,100000,-76.7129
1019,102000,-73.6053
1039,104000,-72.6834
1059,106000,-74.9572
1079,108000,-76.2758
1099,110000,-73.3283
1119,112000,-72.5117
1139,114000,-76.1255
1159,116000,-76.111
1179,118000,-76.4206
1199,120000,-73.0963
1219,122000,-74.0041
1239,124000,-74.8494
1259,126000,-73.4021
1279,128000,-71.7705
1299,130000,-76.6918
1319,132000,-70.7778
1339,134000,-75.1465
1359,136000,-77.1462
1379,138000,-72.2089
1399,140000,-75.5022
1419,142000,-75.6893
1439,144000,-73.7796
1459,146000,-73.6605
1479,148000,-75.4269
1499,150000,-76.8091
1519,152000,-73.4484
1539,154000,-74.8127
1559,156000,-71.6221
1579,158000,-74.9497
1599,160000,-74.1255
1619,162000,-72.7832
1639,164000,-74.4684
1659,166000,-75.8017
1679,168000,-75.0316
1699,170000,-76.0643
1719,172000,-75.6076
1739,174000,-74.1629
1759,176000,-74.829
1779,178000,-78.0367
1799,180000,-75.2111
1819,182000,-71.5183
1839,184000,-76.0024
1859,186000,-76.21
1879,188000,-75.8883
1899,190000,-73.093
1919,192000,-71.5549
1939,194000,-74.6229
1959,196000,-72.5828
1979,198000,-75.1268
1999,200000,-75.6669
2019,202000,-71.2187
2039,204000,-74.2064
2059,206000,-75.1089
2079,208000,-72.811
2099,210000,-75.0004
2119,212000,-75.7636
2139,214000,-75.9936
2159,216000,-75.1352
2179,218000,-73.7907
2199,220000,-73.6733
2219,222000,-77.497
2239,224000,-75.0489
2259,226000,-73.356
2279,228000,-74.2566
2299,230000,-77.0859
2319,232000,-75.5528
2339,234000,-73.4331
2359,236000,-75.3164
2379,238000,-72.9791
2399,240000,-75.5113
2419,242000,-73.5543
2439,244000,-70.9915
2459,246000,-74.5263
2479,248000,-74.2461
2499,250000,-73.7281
2519,252000,-72.0704
2539,254000,-69.417
2559,256000,-70.5714
2579,258000,-71.8642
2599,260000,-74.1503
2619,262000,-67.6286
2639,264000,-69.1192
2659,266000,-69.0524
2679,268000,-66.062
2699,270000,-69.6532
2719,272000,-72.9984
2739,274000,-69.8623
2759,276000,-68.9082
2779,278000,-69.5676
2799,280000,-69.8746
2819,282000,-68.7796
2839,284000,-71.2376
2859,286000,-68.8474
2879,288000,-67.3739
2899,290000,-67.9327
2919,292000,-70.3473
2939,294000,-69.2978
2959,296000,-68.3349
2979,298000,-70.3183
2999,300000,-68.7048
3019,302000,-69.8131
3039,304000,-67.8311
3059,306000,-69.8018
3079,308000,-69.7171
3099,310000,-69.7847
3119,312000,-72.1977
3139,314000,-72.206
3159,316000,-70.1696
3179,318000,-69.6631
3199,320000,-69.0277
3219,322000,-73.4918
3239,324000,-68.7916
3259,326000,-73.5408
3279,328000,-71.0713
3299,330000,-71.2868
3319,332000,-71.5385
3339,334000,-70.9984
3359,336000,-73.3373
3379,338000,-72.6482
3399,340000,-71.3992
3419,342000,-68.969
3439,344000,-68.5275
3459,346000,-69.8246
3479,348000,-70.4787
3499,350000,-71.5956
3519,352000,-68.0508
3539,354000,-72.1246
3559,356000,-67.6189
3579,358000,-71.452
3599,360000,-70.1558
3619,362000,-70.2375
3639,364000,-70.5272
3659,366000,-72.7641
3679,368000,-71.612
3699,370000,-67.4765
3719,372000,-68.0904
3739,374000,-71.4906
3759,376000,-72.1772
3779,378000,-67.6948
3799,380000,-70.1591
3819,382000,-67.3581
3839,384000,-70.3089
3859,386000,-69.163
3879,388000,-67.3242
3899,390000,-73.5731
3919,392000,-69.6806
3939,394000,-70.0123
3959,396000,-69.6825
3979,398000,-71.9499
3999,400000,-71.242
4019,402000,-73.1387
4039,404000,-72.9568
4059,406000,-69.6064
4079,408000,-71.4494
4099,410000,-73.3521
4119,412000,-72.0004
4139,414000,-70.718
4159,416000,-71.8991
4179,418000,-69.4957
4199,420000,-72.8839
4219,422000,-73.6122
4239,424000,-74.4021
4259,426000,-70.5466
4279,428000,-71.2133
4299,430000,-70.2172
4319,432000,-69.4963
4339,434000,-71.6012
4359,436000,-70.8692
4379,438000,-70.2741
4399,440000,-72.6977
4419,442000,-72.9935
4439,444000,-72.2221
4459,446000,-70.5533
4479,448000,-71.8187
4499,450000,-70.364
4519,452000,-71.0291
4539,454000,-70.111
4559,456000,-69.0212
4579,458000,-69.779
4599,460000,-69.9502
4619,462000,-71.6277
4639,464000,-69.0371
4659,466000,-71.9743
4679,468000,-69.0477
4699,470000,-71.0679
4719,472000,-71.453
4739,474000,-72.7995
4759,476000,-71.7238
4779,478000,-70.9282
4799,480000,-71.7341
4819,482000,-74.1277
4839,484000,-72.4063
4859,486000,-74.3179
4879,488000,-73.7987
4899,490000,-70.8823
